Crop,Day,Water_Requirement,Motor_Run_Time
Rice,1.0,8.369666666666667,8.369666666666667
Rice,2.0,8.409333333333333,8.409333333333333
Rice,3.0,8.449,8.449
Rice,4.0,8.488666666666667,8.488666666666667
Rice,5.0,8.528333333333332,8.528333333333332
Rice,6.0,8.568000000000001,8.568000000000001
Rice,7.0,8.607666666666669,8.607666666666669
Rice,8.0,8.647333333333334,8.647333333333334
Rice,9.0,8.687000000000001,8.687000000000001
Rice,10.0,8.726666666666668,8.726666666666668
Rice,11.0,8.766333333333334,8.766333333333334
Rice,12.0,8.806000000000001,8.806000000000001
Rice,13.0,8.845666666666666,8.845666666666666
Rice,14.0,8.885333333333335,8.885333333333335
Rice,15.0,8.925,8.925
Rice,16.0,8.964666666666666,8.964666666666666
Rice,17.0,9.004333333333333,9.004333333333333
Rice,18.0,9.044,9.044
Rice,19.0,9.083666666666666,9.083666666666666
Rice,20.0,9.123333333333335,9.123333333333335
Rice,21.0,9.163,9.163
Rice,22.0,9.20266666666667,9.20266666666667
Rice,23.0,9.242333333333335,9.242333333333335
Rice,24.0,9.282,9.282
Rice,25.0,9.321666666666667,9.321666666666667
Rice,26.0,9.361333333333334,9.361333333333334
Rice,27.0,9.401,9.401
Rice,28.0,9.440666666666667,9.440666666666667
Rice,29.0,9.480333333333332,9.480333333333332
Rice,30.0,9.520000000000001,9.520000000000001
Rice,31.0,9.559666666666667,9.559666666666667
Rice,32.0,9.599333333333332,9.599333333333332
Rice,33.0,9.639,9.639
Rice,34.0,9.678666666666668,9.678666666666668
Rice,35.0,9.718333333333334,9.718333333333334
Rice,36.0,9.758000000000001,9.758000000000001
Rice,37.0,9.797666666666668,9.797666666666668
Rice,38.0,9.837333333333335,9.837333333333335
Rice,39.0,9.877,9.877
Rice,40.0,9.916666666666666,9.916666666666666
Rice,41.0,9.956333333333335,9.956333333333335
Rice,42.0,9.996,9.996
Rice,43.0,10.035666666666668,10.035666666666668
Rice,44.0,10.075333333333333,10.075333333333333
Rice,45.0,10.115,10.115
Rice,46.0,10.15466666666667,10.15466666666667
Rice,47.0,10.194333333333335,10.194333333333335
Rice,48.0,10.234,10.234
Rice,49.0,10.273666666666669,10.273666666666669
Rice,50.0,10.313333333333334,10.313333333333334
Rice,51.0,10.353000000000002,10.353000000000002
Rice,52.0,10.392666666666667,10.392666666666667
Rice,53.0,10.432333333333334,10.432333333333334
Rice,54.0,10.472000000000001,10.472000000000001
Rice,55.0,10.511666666666667,10.511666666666667
Rice,56.0,10.551333333333332,10.551333333333332
Rice,57.0,10.591000000000001,10.591000000000001
Rice,58.0,10.630666666666666,10.630666666666666
Rice,59.0,10.670333333333334,10.670333333333334
Rice,60.0,10.709999999999999,10.709999999999999
Rice,61.0,10.749666666666668,10.749666666666668
Rice,62.0,10.789333333333335,10.789333333333335
Rice,63.0,10.829,10.829
Rice,64.0,10.868666666666666,10.868666666666666
Rice,65.0,10.908333333333335,10.908333333333335
Rice,66.0,10.948,10.948
Rice,67.0,10.987666666666668,10.987666666666668
Rice,68.0,11.027333333333333,11.027333333333333
