Crop,Day,Water_Requirement_Crop,Water_Requirement_Greenhouse,Motor_Run_Time_Minutes
Banana,1.0,42.233333333333334,10.051533333333335,0.6030920000000001
Banana,2.0,42.46666666666667,10.107066666666666,0.606424
Banana,3.0,42.699999999999996,10.162599999999998,0.6097559999999999
Banana,4.0,42.93333333333333,10.218133333333334,0.6130880000000001
Banana,5.0,43.166666666666664,10.273666666666667,0.61642
Banana,6.0,43.400000000000006,10.329200000000002,0.6197520000000001
Banana,7.0,43.63333333333334,10.384733333333335,0.6230840000000001
Banana,8.0,43.86666666666667,10.440266666666666,0.626416
Banana,9.0,44.1,10.495800000000001,0.6297480000000001
Banana,10.0,44.333333333333336,10.551333333333334,0.6330800000000001
Banana,11.0,44.56666666666667,10.606866666666667,0.6364120000000001
Banana,12.0,44.8,10.6624,0.6397440000000001
Banana,13.0,45.03333333333333,10.717933333333335,0.643076
Banana,14.0,45.266666666666666,10.773466666666666,0.6464079999999999
Banana,15.0,45.5,10.828999999999999,0.6497399999999999
Banana,16.0,45.73333333333333,10.884533333333332,0.6530719999999999
Banana,17.0,45.96666666666667,10.940066666666668,0.6564040000000001
Banana,18.0,46.2,10.995600000000001,0.6597360000000001
Banana,19.0,46.43333333333334,11.051133333333334,0.6630680000000001
Banana,20.0,46.66666666666667,11.10666666666667,0.6664000000000001
Banana,21.0,46.9,11.162199999999999,0.6697319999999999
Banana,22.0,47.13333333333333,11.217733333333333,0.673064
Banana,23.0,47.36666666666667,11.273266666666666,0.676396
Banana,24.0,47.6,11.328800000000001,0.6797280000000001
Banana,25.0,47.83333333333333,11.384333333333332,0.68306
Banana,26.0,48.06666666666666,11.439866666666667,0.686392
Banana,27.0,48.3,11.4954,0.689724
Banana,28.0,48.53333333333333,11.550933333333333,0.6930559999999999
Banana,29.0,48.76666666666667,11.606466666666668,0.696388
Banana,30.0,49.0,11.662,0.69972
Banana,31.0,49.233333333333334,11.717533333333334,0.703052
Banana,32.0,49.46666666666667,11.773066666666669,0.7063840000000001
Banana,33.0,49.7,11.8286,0.709716
Banana,34.0,49.93333333333333,11.884133333333333,0.713048
Banana,35.0,50.166666666666664,11.939666666666668,0.71638
Banana,36.0,50.4,11.9952,0.719712
Banana,37.0,50.63333333333333,12.050733333333334,0.723044
Banana,38.0,50.86666666666666,12.106266666666665,0.7263759999999999
Banana,39.0,51.10000000000001,12.161800000000001,0.7297080000000001
Banana,40.0,51.333333333333336,12.217333333333334,0.73304
Banana,41.0,51.56666666666667,12.272866666666667,0.736372
Banana,42.0,51.800000000000004,12.3284,0.739704
Banana,43.0,52.03333333333333,12.383933333333335,0.743036
Banana,44.0,52.266666666666666,12.439466666666668,0.746368
Banana,45.0,52.5,12.495,0.7496999999999999
Banana,46.0,52.733333333333334,12.550533333333332,0.7530319999999999
Banana,47.0,52.96666666666667,12.606066666666667,0.756364
Banana,48.0,53.199999999999996,12.6616,0.759696
