Crop,Day,Water_Requirement,Motor_Run_Time
Sugarcane,1.0,23.865205479452058,23.865205479452058
Sugarcane,2.0,23.930410958904112,23.930410958904112
Sugarcane,3.0,23.995616438356166,23.995616438356166
Sugarcane,4.0,24.06082191780822,24.06082191780822
Sugarcane,5.0,24.126027397260277,24.126027397260277
Sugarcane,6.0,24.19123287671233,24.19123287671233
Sugarcane,7.0,24.256438356164384,24.256438356164384
Sugarcane,8.0,24.321643835616438,24.321643835616438
Sugarcane,9.0,24.386849315068496,24.386849315068496
Sugarcane,10.0,24.452054794520553,24.452054794520553
Sugarcane,11.0,24.517260273972603,24.517260273972603
Sugarcane,12.0,24.58246575342466,24.58246575342466
Sugarcane,13.0,24.647671232876714,24.647671232876714
Sugarcane,14.0,24.71287671232877,24.71287671232877
Sugarcane,15.0,24.778082191780822,24.778082191780822
Sugarcane,16.0,24.84328767123288,24.84328767123288
Sugarcane,17.0,24.908493150684933,24.908493150684933
Sugarcane,18.0,24.97369863013699,24.97369863013699
Sugarcane,19.0,25.03890410958904,25.03890410958904
Sugarcane,20.0,25.104109589041098,25.104109589041098
Sugarcane,21.0,25.169315068493155,25.169315068493155
Sugarcane,22.0,25.234520547945205,25.234520547945205
Sugarcane,23.0,25.299726027397263,25.299726027397263
Sugarcane,24.0,25.364931506849317,25.364931506849317
Sugarcane,25.0,25.430136986301374,25.430136986301374
Sugarcane,26.0,25.495342465753424,25.495342465753424
Sugarcane,27.0,25.56054794520548,25.56054794520548
Sugarcane,28.0,25.625753424657535,25.625753424657535
Sugarcane,29.0,25.690958904109593,25.690958904109593
Sugarcane,30.0,25.756164383561643,25.756164383561643
Sugarcane,31.0,25.8213698630137,25.8213698630137
Sugarcane,32.0,25.886575342465758,25.886575342465758
Sugarcane,33.0,25.95178082191781,25.95178082191781
Sugarcane,34.0,26.016986301369865,26.016986301369865
Sugarcane,35.0,26.08219178082192,26.08219178082192
Sugarcane,36.0,26.147397260273976,26.147397260273976
Sugarcane,37.0,26.212602739726027,26.212602739726027
Sugarcane,38.0,26.277808219178084,26.277808219178084
Sugarcane,39.0,26.343013698630138,26.343013698630138
Sugarcane,40.0,26.408219178082195,26.408219178082195
Sugarcane,41.0,26.47342465753425,26.47342465753425
Sugarcane,42.0,26.538630136986303,26.538630136986303
Sugarcane,43.0,26.60383561643836,26.60383561643836
Sugarcane,44.0,26.669041095890414,26.669041095890414
Sugarcane,45.0,26.734246575342468,26.734246575342468
Sugarcane,46.0,26.79945205479452,26.79945205479452
Sugarcane,47.0,26.86465753424658,26.86465753424658
Sugarcane,48.0,26.929863013698633,26.929863013698633
Sugarcane,49.0,26.995068493150686,26.995068493150686
Sugarcane,50.0,27.060273972602744,27.060273972602744
Sugarcane,51.0,27.125479452054797,27.125479452054797
Sugarcane,52.0,27.19068493150685,27.19068493150685
Sugarcane,53.0,27.255890410958905,27.255890410958905
Sugarcane,54.0,27.321095890410962,27.321095890410962
Sugarcane,55.0,27.386301369863016,27.386301369863016
Sugarcane,56.0,27.45150684931507,27.45150684931507
Sugarcane,57.0,27.516712328767124,27.516712328767124
Sugarcane,58.0,27.58191780821918,27.58191780821918
Sugarcane,59.0,27.64712328767124,27.64712328767124
Sugarcane,60.0,27.71232876712329,27.71232876712329
Sugarcane,61.0,27.777534246575346,27.777534246575346
Sugarcane,62.0,27.8427397260274,27.8427397260274
Sugarcane,63.0,27.907945205479457,27.907945205479457
Sugarcane,64.0,27.973150684931507,27.973150684931507
Sugarcane,65.0,28.038356164383565,28.038356164383565
Sugarcane,66.0,28.10356164383562,28.10356164383562
Sugarcane,67.0,28.168767123287676,28.168767123287676
Sugarcane,68.0,28.23397260273973,28.23397260273973
Sugarcane,69.0,28.299178082191784,28.299178082191784
Sugarcane,70.0,28.364383561643837,28.364383561643837
Sugarcane,71.0,28.42958904109589,28.42958904109589
